year_month,person,screen_time_seconds
2010-01,adam schiff,411
2010-02,adam schiff,153
2010-03,adam schiff,24
2010-04,adam schiff,36
2010-05,adam schiff,30
2010-06,adam schiff,45
2010-07,adam schiff,261
2010-08,adam schiff,12
2010-09,adam schiff,24
2010-10,adam schiff,144
2010-11,adam schiff,9
2010-12,adam schiff,102
2011-01,adam schiff,153
2011-02,adam schiff,756
2011-03,adam schiff,735
2011-04,adam schiff,21
2011-05,adam schiff,1074
2011-06,adam schiff,93
2011-07,adam schiff,591
2011-08,adam schiff,243
2011-09,adam schiff,207
2011-10,adam schiff,282
2011-11,adam schiff,285
2011-12,adam schiff,8
2012-01,adam schiff,267
2012-02,adam schiff,21
2012-03,adam schiff,21
2012-04,adam schiff,33
2012-05,adam schiff,282
2012-06,adam schiff,2185
2012-07,adam schiff,84
2012-08,adam schiff,36
2012-09,adam schiff,306
2012-10,adam schiff,256
2012-11,adam schiff,6526
2012-12,adam schiff,1905
2013-01,adam schiff,1746
2013-02,adam schiff,3165
2013-03,adam schiff,2304
2013-04,adam schiff,5017
2013-05,adam schiff,3805
2013-06,adam schiff,1727
2013-07,adam schiff,651
2013-08,adam schiff,5382
2013-09,adam schiff,2934
2013-10,adam schiff,3059
2013-11,adam schiff,2261
2013-12,adam schiff,3334
2014-01,adam schiff,2285
2014-02,adam schiff,2533
2014-03,adam schiff,2211
2014-04,adam schiff,1494
2014-05,adam schiff,4923
2014-06,adam schiff,2136
2014-07,adam schiff,2973
2014-08,adam schiff,4907
2014-09,adam schiff,6625
2014-10,adam schiff,1503
2014-11,adam schiff,2640
2014-12,adam schiff,1665
2015-01,adam schiff,4283
2015-02,adam schiff,6174
2015-03,adam schiff,3692
2015-04,adam schiff,2849
2015-05,adam schiff,1892
2015-06,adam schiff,3424
2015-07,adam schiff,2541
2015-08,adam schiff,1813
2015-09,adam schiff,1429
2015-10,adam schiff,12251
2015-11,adam schiff,3776
2015-12,adam schiff,6331
2016-01,adam schiff,1236
2016-02,adam schiff,327
2016-03,adam schiff,1957
2016-04,adam schiff,970
2016-05,adam schiff,3217
2016-06,adam schiff,6116
2016-07,adam schiff,2130
2016-08,adam schiff,996
2016-09,adam schiff,3765
2016-10,adam schiff,3974
2016-11,adam schiff,6018
2016-12,adam schiff,8404
2017-01,adam schiff,8028
2017-02,adam schiff,13307
2017-03,adam schiff,45683
2017-04,adam schiff,11903
2017-05,adam schiff,13549
2017-06,adam schiff,14211
2017-07,adam schiff,12067
2017-08,adam schiff,4025
2017-09,adam schiff,6415
2017-10,adam schiff,7764
2017-11,adam schiff,5435
2017-12,adam schiff,12250
2018-01,adam schiff,22075
2018-02,adam schiff,28444
2018-03,adam schiff,12074
2018-04,adam schiff,6600
2018-05,adam schiff,11019
2018-06,adam schiff,7114
2018-07,adam schiff,12390
2018-08,adam schiff,2949
2018-09,adam schiff,9956
2018-10,adam schiff,5073
2018-11,adam schiff,12328
2018-12,adam schiff,6428
2019-01,adam schiff,11778
2019-02,adam schiff,15326
2019-03,adam schiff,31649
2019-04,adam schiff,17822
2019-05,adam schiff,16600
2019-06,adam schiff,11388
2019-07,adam schiff,16307
2019-08,adam schiff,2293
2019-09,adam schiff,39422
2019-10,adam schiff,41872
2019-11,adam schiff,118162
2019-12,adam schiff,37468
2020-01,adam schiff,160992
2020-02,adam schiff,10569
2020-03,adam schiff,1586
2020-04,adam schiff,5100
2020-05,adam schiff,8711
2020-06,adam schiff,6201
2020-07,adam schiff,7083
2010-01,ainsley earhardt,409
2010-02,ainsley earhardt,832
2010-03,ainsley earhardt,1177
2010-04,ainsley earhardt,834
2010-05,ainsley earhardt,2919
2010-06,ainsley earhardt,205
2010-07,ainsley earhardt,1404
2010-08,ainsley earhardt,1105
2010-09,ainsley earhardt,1542
2010-10,ainsley earhardt,1698
2010-11,ainsley earhardt,3035
2010-12,ainsley earhardt,2218
2011-01,ainsley earhardt,445
2011-02,ainsley earhardt,1425
2011-03,ainsley earhardt,2039
2011-04,ainsley earhardt,1001
2011-05,ainsley earhardt,3804
2011-06,ainsley earhardt,3345
2011-07,ainsley earhardt,3202
2011-08,ainsley earhardt,1820
2011-09,ainsley earhardt,591
2011-10,ainsley earhardt,1298
2011-11,ainsley earhardt,535
2011-12,ainsley earhardt,3638
2012-01,ainsley earhardt,1119
2012-02,ainsley earhardt,560
2012-03,ainsley earhardt,3466
2012-04,ainsley earhardt,3003
2012-05,ainsley earhardt,3329
2012-06,ainsley earhardt,2326
2012-07,ainsley earhardt,3591
2012-08,ainsley earhardt,5688
2012-09,ainsley earhardt,3182
2012-10,ainsley earhardt,1753
2012-11,ainsley earhardt,3884
2012-12,ainsley earhardt,4355
2013-01,ainsley earhardt,3308
2013-02,ainsley earhardt,1939
2013-03,ainsley earhardt,4519
2013-04,ainsley earhardt,1475
2013-05,ainsley earhardt,3052
2013-06,ainsley earhardt,1861
2013-07,ainsley earhardt,5912
2013-08,ainsley earhardt,6905
2013-09,ainsley earhardt,3742
2013-10,ainsley earhardt,9099
2013-11,ainsley earhardt,5738
2013-12,ainsley earhardt,6914
2014-01,ainsley earhardt,7972
2014-02,ainsley earhardt,7368
2014-03,ainsley earhardt,5792
2014-04,ainsley earhardt,10320
2014-05,ainsley earhardt,6677
2014-06,ainsley earhardt,7647
2014-07,ainsley earhardt,8784
2014-08,ainsley earhardt,7011
2014-09,ainsley earhardt,7149
2014-10,ainsley earhardt,8708
2014-11,ainsley earhardt,9602
2014-12,ainsley earhardt,7056
2015-01,ainsley earhardt,4453
2015-02,ainsley earhardt,6413
2015-03,ainsley earhardt,6911
2015-04,ainsley earhardt,6744
2015-05,ainsley earhardt,5820
2015-06,ainsley earhardt,5731
2015-07,ainsley earhardt,5899
2015-08,ainsley earhardt,5277
2015-09,ainsley earhardt,5786
2015-10,ainsley earhardt,4362
2015-11,ainsley earhardt,323
2015-12,ainsley earhardt,327
2016-01,ainsley earhardt,192
2016-02,ainsley earhardt,829
2016-03,ainsley earhardt,9170
2016-04,ainsley earhardt,5618
2016-05,ainsley earhardt,8995
2016-06,ainsley earhardt,8109
2016-07,ainsley earhardt,4775
2016-08,ainsley earhardt,7924
2016-09,ainsley earhardt,7240
2016-10,ainsley earhardt,8840
2016-11,ainsley earhardt,8950
2016-12,ainsley earhardt,6907
2017-01,ainsley earhardt,10001
2017-02,ainsley earhardt,7555
2017-03,ainsley earhardt,11181
2017-04,ainsley earhardt,9107
2017-05,ainsley earhardt,9352
2017-06,ainsley earhardt,8494
2017-07,ainsley earhardt,6975
2017-08,ainsley earhardt,5673
2017-09,ainsley earhardt,5221
2017-10,ainsley earhardt,9472
2017-11,ainsley earhardt,8458
2017-12,ainsley earhardt,13171
2018-01,ainsley earhardt,12267
2018-02,ainsley earhardt,6565
2018-03,ainsley earhardt,14084
2018-04,ainsley earhardt,16168
2018-05,ainsley earhardt,15837
