Name_EN,code,pci
An Giang,VN-89,64.72
Ba Ria - Vung Tau,VN-77,65.48
Bac Giang,VN-24,63.98
Bac Kan,VN-6,61.97
Bac Lieu,VN-95,59.61
Bac Ninh,VN-27,66.74
Ben Tre,VN-83,69.08
Binh Dinh,VN-52,63.18
Binh Duong,VN-74,70.16
Binh Phuoc,VN-70,62.42
Binh Thuan,VN-60,63.29
Ca Mau,VN-96,62.82
Can Tho,VN-92,66.33
Cao Bang,VN-4,62.2
Da Nang,VN-48,70.12
Dak Lak,VN-66,63.22
Dak Nong,VN-67,61.96
Dien Bien,VN-11,62.62
Dong Nai,VN-75,64.56
Dong Thap,VN-87,72.81
Gia Lai,VN-64,63.12
Ha Giang,VN-2,61.16
Ha Nam,VN-35,63.47
Ha Noi,VN-1,66.93
Ha Tinh,VN-42,64.56
Hai Duong,VN-30,62.52
Hai Phong,VN-31,69.27
Hau Giang,VN-93,63.11
Hoa Binh,VN-17,62.8
Hung Yen,VN-33,62.23
Khanh Hoa,VN-56,63.98
Kien Giang,VN-91,60.01
Kon Tum,VN-62,62.02
Lai Chau,VN-12,61.98
Lam Dong,VN-68,64.43
Lang Son,VN-20,62.43
Lao Cai,VN-10,65.25
Long An,VN-80,70.37
Nam Dinh,VN-36,63.1
Nghe An,VN-40,64.73
Ninh Binh,VN-37,61.98
Ninh Thuan,VN-58,63.44
Phu Tho,VN-25,64.52
Phu Yen,VN-54,62.84
Quang Binh,VN-44,62.3
Quang Nam,VN-49,65.72
Quang Ngai,VN-51,63.2
Quang Ninh,VN-22,75.09
Quang Tri,VN-45,63.07
Soc Trang,VN-94,62.34
Son La,VN-14,62.05
TP. Ho Chi Minh,VN-79,65.7
Thua Thien - Hue,VN-46,65.03
Tay Ninh,VN-72,64.16
Thai Binh,VN-34,64.02
Thai Nguyen,VN-19,66.56
Thanh Hoa,VN-38,63.91
Tien Giang,VN-82,62.78
Tra Vinh,VN-84,62.44
Tuyen Quang,VN-8,63.46
Vinh Long,VN-86,69.34
Vinh Phuc,VN-26,63.84
Yen Bai,VN-15,63.35
